Sub_Hz,B1_red,B1_green,B1_blue,B2_red,B2_green,B2_blue,B3_red,B3_green,B3_blue,B4_red,B4_green,B4_blue
NI_6,0.42070735881346266,0.5486309184255562,0.030661722760981176,0.11777335984095427,0.7869582504970178,0.09526838966202783,0.0,0.21112667600560336,0.7888733239943967,0.5401939832319579,0.43827059016932435,0.02153542659871774
NI_10,0.9084426697090702,0.07515687393040502,0.016400456360524816,0.11204771371769384,0.6974950298210736,0.1904572564612326,0.0,0.20072043225935562,0.7992795677406443,0.7864540522768371,0.19924379418050303,0.014302153542659872
NI_22,0.5798630918425556,0.4057330290929835,0.014403879064460924,0.05582504970178927,0.8803976143141153,0.06377733598409542,0.0,0.21112667600560336,0.7888733239943967,0.6799276672694394,0.31053756370212066,0.009534769028439914
HI_6,0.644466628636623,0.3394181403308614,0.01611523103251569,0.103220675944334,0.7514115308151094,0.14536779324055665,0.0,0.02261356814088453,0.9773864318591154,0.7423968436626665,0.24264343251685025,0.014959723820483314
HI_10,0.4466628636622932,0.4219908727895037,0.13134626354820308,0.22950298210735587,0.5498210735586481,0.220675944333996,0.0,0.2631578947368421,0.7368421052631579,0.700476738451422,0.2745355909912872,0.02498767055729081
HI_22,0.6776953793496863,0.3118938961779806,0.010410724472333143,0.13335984095427436,0.7711332007952286,0.09550695825049701,0.0,0.10146087652591555,0.8985391234740845,0.46408022357389445,0.5263850073976656,0.009534769028439914
